pk_TimeStamp,Vazão m3/h,SP_Velocidade,feed_velocidade,feed_corrente,feed_tensão,SP_Velocidade_BA03,feed_velocidade_BA03,feed_corrente_BA03,feed_tensão_BA03,SP_Velocidade_BA04,feed_velocidade_BA04,feed_corrente_BA04,feed_tensão_BA04,BA01_status,BA03_status,BA04_status
2024-05-16 13:00:00.002836,22.10340690612793,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,376.0563354492188,60.0,61.0,8.238537788391113,0.3231424689292907,1.0,1.0,1.0
2024-05-16 13:00:00.002844,22.11618995666504,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.238537788391113,0.3231424689292907,1.0,1.0,1.0
2024-05-16 13:00:00.002847,22.099363327026367,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.238537788391113,0.3231424689292907,1.0,1.0,1.0
2024-05-16 13:00:00.002859,22.04887962341309,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.184045791625977,0.3230994939804077,1.0,1.0,1.0
2024-05-16 13:00:00.002870,22.113666534423828,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.16815185546875,0.3227126598358154,1.0,1.0,1.0
2024-05-16 13:00:00.002882,22.127105712890625,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,376.0563354492188,60.0,61.0,8.16815185546875,0.3227126598358154,1.0,1.0,1.0
2024-05-16 13:00:00.002893,22.09618186950684,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,376.7605590820313,60.0,61.0,8.16815185546875,0.3227126598358154,1.0,1.0,1.0
2024-05-16 13:00:00.002905,22.08021354675293,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,376.7605590820313,60.0,61.0,8.15793514251709,0.3232714235782623,1.0,1.0,1.0
2024-05-16 13:00:00.002917,22.09000587463379,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.15793514251709,0.3232714235782623,1.0,1.0,1.0
2024-05-16 13:00:00.002928,22.06761741638184,72.0,71.90185546875,4.8,368.3098449707031,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.15793514251709,0.3232714235782623,1.0,1.0,1.0
2024-05-16 13:00:00.002940,22.128921508789062,72.0,71.90185546875,4.8,367.6056213378906,68.0,67.90283203125,7.9,377.46478271484375,60.0,61.0,8.159070014953613,0.3236152827739715,1.0,1.0,1.0
2024-05-16 13:00:00.002951,22.10905265808105,72.0,71.90185546875,4.8,366.9013977050781,68.0,67.90283203125,7.9,376.7605590820313,60.0,61.0,8.159070014953613,0.3236152827739715,1.0,1.0,1.0
